iter	Passed	Remaining
0	151	151662
1	152	76147
2	153	50897
3	153	38270
4	154	30700
5	154	25667
6	155	22038
7	155	19318
8	156	17204
9	156	15508
10	157	14122
11	157	12967
12	157	11991
13	158	11157
14	158	10435
15	159	9802
16	159	9242
17	160	8743
18	160	8297
19	161	7896
20	161	7535
21	162	7206
22	162	6904
23	163	6630
24	163	6374
25	163	6138
26	164	5920
27	164	5720
28	165	5530
29	165	5353
30	165	5188
31	166	5032
32	166	4888
33	167	4752
34	167	4622
35	168	4500
36	168	4384
37	168	4275
38	169	4172
39	169	4074
40	170	3980
41	170	3891
42	171	3806
43	171	3726
44	171	3649
45	172	3575
46	172	3503
47	173	3434
48	173	3368
49	174	3307
50	174	3246
51	174	3188
52	175	3131
53	175	3077
54	176	3026
55	176	2976
56	176	2928
57	177	2881
58	177	2836
59	178	2791
60	178	2750
61	179	2709
62	179	2671
63	180	2633
64	180	2597
65	180	2561
66	181	2525
67	181	2488
68	182	2456
69	182	2423
70	182	2392
71	183	2361
72	183	2332
73	184	2304
74	184	2277
75	185	2254
76	186	2229
77	186	2204
78	187	2180
79	187	2159
80	188	2140
81	189	2120
82	190	2100
83	190	2080
84	191	2056
85	191	2035
86	191	2013
87	192	1992
88	192	1972
89	193	1953
90	193	1934
91	194	1915
92	194	1896
93	194	1879
94	195	1861
95	195	1844
96	196	1827
97	196	1811
98	197	1794
99	197	1778
100	198	1762
101	198	1745
102	198	1730
103	199	1716
104	199	1701
105	200	1686
106	200	1672
107	200	1658
108	201	1644
109	201	1631
110	201	1617
111	202	1604
112	202	1591
113	203	1579
114	203	1567
115	203	1554
116	204	1541
117	204	1530
118	205	1517
119	205	1506
120	205	1495
121	206	1484
122	206	1471
123	206	1460
124	207	1450
125	207	1439
126	207	1429
127	208	1418
128	208	1408
129	208	1398
130	209	1388
131	209	1379
132	210	1370
133	210	1360
134	210	1351
135	211	1342
136	211	1333
137	212	1324
138	213	1323
139	214	1315
140	214	1307
141	215	1299
142	215	1291
143	215	1283
144	216	1276
145	216	1268
146	217	1260
147	217	1252
148	218	1245
149	218	1238
150	218	1231
151	219	1224
152	219	1217
153	220	1210
154	220	1203
155	221	1196
156	221	1189
157	222	1183
158	222	1177
159	223	1174
160	224	1168
161	224	1161
162	225	1155
163	225	1149
164	225	1143
165	226	1137
166	226	1130
167	227	1125
168	227	1119
169	228	1114
170	228	1108
171	229	1102
172	229	1097
173	229	1091
174	230	1085
175	230	1080
176	231	1074
177	231	1069
178	232	1064
179	232	1059
180	232	1053
181	233	1048
182	233	1042
183	233	1037
184	234	1032
185	234	1027
186	235	1022
187	235	1017
188	235	1012
189	236	1007
190	236	1002
191	237	997
192	237	992
193	237	987
194	238	983
195	238	978
196	238	974
197	239	969
198	239	965
199	240	960
200	240	956
201	241	952
202	241	947
203	241	944
204	242	940
205	243	937
206	243	934
207	244	930
208	244	926
209	245	922
210	245	918
211	245	914
212	246	910
213	246	906
214	247	902
215	247	898
216	248	895
217	248	891
218	249	888
219	249	885
220	250	882
221	250	879
222	251	875
223	251	872
224	252	868
225	252	865
226	253	861
227	253	858
228	254	855
229	254	851
230	255	848
231	255	845
232	256	842
233	256	840
234	257	837
235	258	835
236	258	832
237	259	830
238	259	827
239	260	825
240	261	822
241	261	819
242	261	816
243	262	812
244	262	809
245	263	806
246	263	803
247	264	800
248	264	797
249	264	794
250	265	791
251	265	788
252	266	785
253	266	782
254	266	779
255	267	776
256	267	774
257	268	771
258	268	768
259	269	766
260	269	763
261	270	760
262	270	757
263	270	755
264	271	752
265	271	749
266	272	747
267	272	744
268	273	741
269	273	739
270	273	736
271	274	733
272	274	731
273	274	728
274	275	726
275	275	723
276	276	721
277	276	718
278	277	716
279	277	713
280	277	710
281	278	708
282	278	706
283	279	703
284	279	701
285	279	698
286	280	696
287	280	693
288	281	691
289	281	688
290	282	687
291	282	684
292	282	682
293	283	680
294	283	677
295	284	675
296	284	673
297	284	671
298	285	668
299	285	666
300	286	664
301	286	661
302	286	659
303	287	657
304	287	655
305	288	653
306	288	651
307	289	649
308	289	647
309	289	645
310	290	643
311	290	641
312	291	639
313	291	637
314	292	635
315	292	633
316	293	632
317	293	630
318	294	628
319	294	626
320	295	624
321	295	622
322	296	621
323	297	620
324	297	618
325	298	617
326	299	615
327	301	617
328	301	615
329	302	613
330	302	612
331	303	610
332	303	608
333	304	606
334	304	604
335	305	602
336	305	600
337	305	599
338	306	597
339	306	595
340	307	593
341	307	591
342	307	589
343	308	588
344	308	586
345	309	584
346	309	582
347	310	582
348	311	581
349	311	579
350	312	577
351	312	575
352	313	574
353	313	572
354	314	570
355	314	568
356	314	567
357	315	565
358	315	563
359	316	561
360	316	560
361	316	558
362	317	556
363	317	555
364	318	553
365	318	551
366	319	550
367	319	548
368	319	546
369	320	545
370	320	543
371	321	542
372	321	540
373	322	539
374	322	537
375	323	536
376	323	535
377	324	533
378	324	532
379	325	530
380	325	529
381	326	527
382	326	526
383	327	524
384	327	523
385	328	521
386	328	520
387	329	518
388	329	517
389	330	516
390	330	514
391	331	513
392	332	512
393	332	511
394	333	510
