iter	RMSE
0	14.78377921
1	14.40328356
2	14.03271617
3	13.66782236
4	13.3252414
5	13.03770439
6	12.73680718
7	12.4518886
8	12.1854975
9	11.88965519
10	11.6107667
11	11.36644061
12	11.15163653
13	10.90845079
14	10.66880486
15	10.43355178
16	10.21251862
17	10.00706192
18	9.80029763
19	9.609830014
20	9.436847599
21	9.263167088
22	9.09355825
23	8.925241232
24	8.776630123
25	8.638446603
26	8.497148148
27	8.359380393
28	8.227078247
29	8.105202975
30	8.001862687
31	7.878215421
32	7.770279064
33	7.684828838
34	7.581140926
35	7.485375829
36	7.392146134
37	7.313537617
38	7.221632034
39	7.141289346
40	7.069885607
41	7.001316911
42	6.922118191
43	6.858391966
44	6.793127108
45	6.733505301
46	6.678790174
47	6.619087169
48	6.561775359
49	6.511914581
50	6.4655716
51	6.411303747
52	6.357612699
53	6.311460522
54	6.280655773
55	6.244487622
56	6.2029968
57	6.169388065
58	6.136647551
59	6.104746772
60	6.072121522
61	6.036703694
62	6.005372963
63	5.975068884
64	5.951335223
65	5.923482465
66	5.899823576
67	5.877296055
68	5.852750801
69	5.82988829
70	5.805337868
71	5.785836047
72	5.765749964
73	5.74516575
74	5.725634753
75	5.702675835
76	5.68694118
77	5.670534903
78	5.655732927
79	5.637271659
80	5.627137738
81	5.605015874
82	5.589759379
83	5.582246457
84	5.570549493
85	5.556836662
86	5.541471285
87	5.530698024
88	5.515465577
89	5.50302455
90	5.485962662
91	5.477837109
92	5.467239679
93	5.456225295
94	5.447884323
95	5.43281054
96	5.420696029
97	5.411082817
98	5.402624921
99	5.391494717
100	5.378068828
101	5.368563426
102	5.358376482
103	5.348963456
104	5.341224482
105	5.332825065
106	5.322719046
107	5.314498429
108	5.303961363
109	5.296712803
110	5.290190752
111	5.281806302
112	5.276339551
113	5.268618187
114	5.262158312
115	5.25492611
116	5.24934166
117	5.243900235
118	5.240849569
119	5.230172482
120	5.225973792
121	5.223697561
122	5.214427398
123	5.208070803
124	5.202196632
125	5.195187315
126	5.190355139
127	5.18713648
128	5.180852958
129	5.176132022
130	5.167602638
131	5.160415817
132	5.152459597
133	5.143165804
134	5.139692916
135	5.136258925
136	5.133101563
137	5.129396694
138	5.123100819
139	5.118547924
140	5.114398402
141	5.111054833
142	5.107881094
143	5.1012456
144	5.097275374
145	5.092398778
146	5.086203939
147	5.084209503
148	5.07750291
149	5.07449109
150	5.07142391
151	5.063774913
152	5.058941952
153	5.054141944
154	5.047819523
155	5.042309016
156	5.039069568
157	5.033455145
158	5.031023247
159	5.024056756
160	5.023194977
161	5.019426576
162	5.015585136
163	5.013145827
164	5.004913099
165	5.002435597
166	4.99802284
167	4.995105651
168	4.990586777
169	4.98806833
170	4.983776865
171	4.979222466
172	4.973330154
173	4.970810535
174	4.967580327
175	4.962513906
176	4.962000252
177	4.958047583
178	4.95573087
179	4.951282672
180	4.948058694
181	4.942725104
182	4.937324767
183	4.930237917
184	4.927446784
185	4.923481702
186	4.921456738
187	4.917552502
188	4.911933024
189	4.909095962
190	4.903966189
191	4.899677576
192	4.895429325
193	4.892610278
194	4.886642864
195	4.884897885
196	4.882043085
197	4.87555728
198	4.872012429
199	4.867985305
200	4.864434991
201	4.862825467
202	4.858720436
203	4.856860344
204	4.853675905
205	4.850216134
206	4.847962365
207	4.843960779
208	4.841877049
209	4.837913334
210	4.832842442
211	4.828736561
212	4.824435118
213	4.819730314
214	4.814695624
215	4.811114166
216	4.807607435
217	4.804367016
218	4.801508489
219	4.79737583
220	4.793147741
221	4.79031179
222	4.786325864
223	4.783707515
224	4.780374304
225	4.777971482
226	4.772259361
227	4.770990942
228	4.765514591
229	4.761353641
230	4.756749538
231	4.754050612
232	4.74924801
233	4.745565701
234	4.739916731
235	4.737312805
236	4.73548364
237	4.732473591
238	4.726989072
239	4.723590227
240	4.717770223
241	4.714165404
242	4.712044686
243	4.705216388
244	4.702554198
245	4.700829495
246	4.694706161
247	4.690351985
248	4.687966288
249	4.685950402
250	4.684164397
251	4.681120601
252	4.678364674
253	4.6726617
254	4.670370664
255	4.668763674
256	4.66539214
257	4.661152069
258	4.659144187
259	4.654623905
260	4.651479035
261	4.649510171
262	4.645806164
263	4.644153976
264	4.642722356
265	4.639429187
266	4.638246936
267	4.637329285
268	4.633693248
269	4.630911229
270	4.627802914
271	4.62318129
272	4.620691108
273	4.614914637
274	4.613515045
275	4.60536566
276	4.597893136
277	4.595156764
278	4.590825018
279	4.589672838
280	4.588284198
281	4.580101479
282	4.578135212
283	4.5774318
284	4.575447844
285	4.574395225
286	4.568847765
287	4.562244147
288	4.556477933
289	4.554234643
290	4.552897223
291	4.549201199
292	4.54561457
293	4.541570135
294	4.534162844
295	4.530466113
296	4.526817468
297	4.523749659
298	4.518986514
299	4.515337891
300	4.51477392
301	4.512236263
302	4.506900227
303	4.503624389
304	4.50158911
305	4.49901144
306	4.497021341
307	4.491983559
308	4.486931422
309	4.484391095
310	4.479351081
311	4.477057972
312	4.475109658
313	4.474417031
314	4.469219672
315	4.468630259
316	4.464856086
317	4.462060814
318	4.460168772
319	4.4548959
320	4.448962293
321	4.443308964
322	4.440058466
323	4.434852305
324	4.429915926
325	4.428799557
326	4.42489365
327	4.423845173
328	4.419092428
329	4.416859366
330	4.412378631
331	4.409621603
332	4.404626207
333	4.399546216
334	4.396534671
335	4.394861606
336	4.393441744
337	4.392427787
338	4.390827532
339	4.389635722
340	4.385701554
341	4.37925301
342	4.377439008
343	4.376869882
344	4.374967756
345	4.37058574
346	4.370071264
347	4.368656486
348	4.366326376
349	4.36014433
350	4.35558297
351	4.349966388
352	4.3463768
353	4.345059509
354	4.341744068
355	4.337950817
356	4.336647991
357	4.332276753
358	4.327073086
359	4.323823737
360	4.321753099
361	4.319067086
362	4.31672132
363	4.313057342
364	4.310665032
365	4.307901669
366	4.304498417
367	4.299067592
368	4.296840943
369	4.29492257
370	4.289025362
371	4.287085286
372	4.284038796
373	4.283717674
374	4.283371873
375	4.27869718
376	4.278186066
377	4.274424915
378	4.27368776
379	4.268768557
380	4.265154629
381	4.259673474
382	4.255705489
383	4.254007672
384	4.250831391
385	4.247519342
386	4.24356787
387	4.239940575
388	4.235827707
389	4.231408028
390	4.227624305
391	4.224084152
392	4.223171062
393	4.222305833
394	4.220572627
395	4.219481759
396	4.218170254
397	4.217688706
398	4.214939874
399	4.212104784
400	4.21043557
401	4.206471262
402	4.201839877
403	4.2010577
404	4.196173573
405	4.192256117
406	4.191188388
407	4.19073005
408	4.186928946
409	4.184824702
410	4.184658266
411	4.182411847
412	4.178630528
413	4.175988752
414	4.173182853
415	4.170047218
416	4.169591242
417	4.167508659
418	4.16539546
419	4.164704904
420	4.159559338
421	4.155461307
422	4.151155073
423	4.150207558
424	4.147059522
425	4.143203577
426	4.13894739
427	4.137216979
428	4.133581747
429	4.130342385
430	4.125820857
431	4.121054728
432	4.120043849
433	4.116900303
434	4.113246917
435	4.108956599
436	4.105018528
437	4.102080945
438	4.101301783
439	4.101096546
440	4.097220781
441	4.092361142
442	4.092112195
443	4.089225104
444	4.086641376
445	4.0847666
446	4.080305262
447	4.076287687
448	4.072247488
449	4.06927912
450	4.068910379
451	4.067505122
452	4.066778813
453	4.064827703
454	4.061620385
455	4.05855548
456	4.058436377
457	4.054871988
458	4.053025938
459	4.049255947
460	4.045537682
461	4.041750089
462	4.040419495
463	4.036026303
464	4.03287419
465	4.029652464
466	4.027031219
467	4.02428348
468	4.021089193
469	4.020792138
470	4.018860501
471	4.01566414
472	4.014511815
473	4.012216136
474	4.00982417
475	4.007428718
476	4.005101537
477	4.003817698
478	4.00114214
479	4.000538099
480	3.998242628
481	3.997852517
482	3.997488786
483	3.997125216
484	3.993608917
485	3.989503203
486	3.986370813
487	3.983163683
488	3.980144886
489	3.978951619
490	3.975538155
491	3.973072888
492	3.970630694
493	3.970054749
494	3.965838957
495	3.964663847
496	3.96213657
497	3.959169792
498	3.955570178
499	3.953294661
500	3.952429173
501	3.95050206
502	3.946414917
503	3.942773434
504	3.941773538
505	3.939087188
506	3.935611915
507	3.934161534
508	3.932325356
509	3.931976479
510	3.928409195
511	3.926754059
512	3.926096444
513	3.924724045
514	3.923615039
515	3.920434265
516	3.919484228
517	3.919178214
518	3.91617298
519	3.915585001
520	3.913565653
521	3.913445077
522	3.909678078
523	3.90931426
524	3.908714621
525	3.905396246
526	3.901792166
527	3.899564976
528	3.89832687
529	3.895485459
530	3.893261109
531	3.892962756
532	3.890091445
533	3.887351678
534	3.885209535
535	3.882822961
536	3.882488124
537	3.881197499
538	3.876675821
539	3.874327459
540	3.873541244
541	3.87013838
542	3.867392335
543	3.863903611
544	3.863843008
545	3.862931627
546	3.861922627
547	3.86167304
548	3.85972518
549	3.85846535
550	3.855723135
551	3.853082586
552	3.85225327
553	3.850641136
554	3.846432224
555	3.842838343
556	3.842411262
557	3.838126137
558	3.835740339
559	3.834744137
560	3.830864102
561	3.828035815
562	3.827069812
563	3.823918343
564	3.822108397
565	3.819629742
566	3.818536547
567	3.814625219
568	3.813661469
569	3.812780996
570	3.810899371
571	3.808756449
572	3.807858854
573	3.806899803
574	3.803718854
575	3.80048539
576	3.798945638
577	3.796389526
578	3.795192171
579	3.794609487
580	3.791163166
581	3.789168069
582	3.787057473
583	3.78319501
584	3.779726395
585	3.778243151
586	3.773875634
587	3.770363507
588	3.767671316
589	3.765942436
590	3.765394954
591	3.76496362
592	3.763732988
593	3.761102898
594	3.760083766
595	3.7588071
596	3.756500139
597	3.756088899
598	3.75345721
599	3.750088081
600	3.747957599
601	3.746608585
602	3.746288354
603	3.744212989
604	3.743714355
605	3.740583363
606	3.737269202
607	3.734463673
608	3.731817159
609	3.728659944
610	3.725632021
611	3.725461208
612	3.723629118
613	3.722742749
614	3.718418649
615	3.716041753
616	3.714623807
617	3.712443625
618	3.710149482
619	3.707997132
620	3.705275638
621	3.701474776
622	3.697592143
623	3.694961282
624	3.692810901
625	3.69087453
626	3.687175668
627	3.684278428
628	3.68071642
629	3.680604173
630	3.679507105
631	3.676523907
632	3.675621713
633	3.674833565
634	3.672601191
635	3.669947484
636	3.669673489
637	3.668936436
638	3.663928791
639	3.659911476
640	3.656842096
641	3.653752078
642	3.65018444
643	3.647082086
644	3.643527936
645	3.641535143
646	3.63920004
647	3.636818147
648	3.635850861
649	3.632804871
650	3.632502446
651	3.6303019
652	3.627174318
653	3.624623451
654	3.622135777
655	3.620275599
656	3.620234435
657	3.619096031
658	3.616748275
659	3.615865865
660	3.612532167
661	3.611145759
662	3.607918518
663	3.607622835
664	3.607548908
665	3.604653345
666	3.602785907
667	3.600121188
668	3.599419301
669	3.599056202
670	3.598618429
671	3.598266081
672	3.596177775
673	3.594392915
674	3.591683545
675	3.589694263
676	3.587251968
677	3.586783199
678	3.585166536
679	3.582903164
680	3.580342135
681	3.579493301
682	3.578751832
683	3.577902815
684	3.576759657
685	3.574983165
686	3.571470253
687	3.569560635
688	3.568620911
689	3.565804286
690	3.562154232
691	3.561869923
692	3.560618646
693	3.557996762
694	3.555237739
695	3.553600698
696	3.553310046
697	3.549798583
698	3.547199037
699	3.544921734
700	3.542760744
701	3.541765652
702	3.539733033
703	3.537306578
704	3.535464628
705	3.533519659
706	3.53300779
707	3.529883765
708	3.526784012
709	3.524597848
710	3.523206468
711	3.520712524
712	3.519676876
713	3.518959121
714	3.516654284
715	3.515816265
716	3.514178735
717	3.513668635
718	3.51096041
719	3.510547099
720	3.507840357
721	3.506136934
722	3.503976361
723	3.500957437
724	3.500635035
725	3.497181727
726	3.495300203
727	3.494386539
728	3.491704406
729	3.489538018
730	3.489167059
731	3.488825343
732	3.4864447
733	3.484914881
734	3.481244388
735	3.47896547
736	3.476549603
737	3.47442842
738	3.472135138
739	3.469918794
740	3.467843448
741	3.466243388
742	3.465470812
743	3.465293641
744	3.463995498
745	3.463140455
746	3.460242562
747	3.457777562
748	3.455763212
749	3.452228913
750	3.450053798
751	3.44739845
752	3.444398898
753	3.443627986
754	3.441768533
755	3.440505794
756	3.437271062
757	3.434531201
758	3.431216437
759	3.430334879
760	3.428172232
761	3.425949674
762	3.423894239
763	3.420705744
764	3.418978828
765	3.417659322
766	3.414531922
767	3.412235827
768	3.409563888
769	3.407415756
770	3.406651266
771	3.404959845
772	3.403170301
773	3.400547355
774	3.399729039
775	3.398851681
776	3.398128526
777	3.395197531
778	3.393946722
779	3.391585281
780	3.389240164
781	3.387522739
782	3.38505702
783	3.383924603
784	3.381743519
785	3.380514713
786	3.378430444
787	3.376367469
788	3.372853573
789	3.372831369
790	3.371106573
791	3.370087186
792	3.36819421
793	3.367328417
794	3.365856723
795	3.364625546
796	3.362893583
797	3.361996782
798	3.360427591
799	3.357752849
800	3.357289944
801	3.355901918
802	3.354712111
803	3.354309704
804	3.351990761
805	3.350202045
806	3.34913188
807	3.348386975
808	3.346096308
809	3.344368509
810	3.342378148
811	3.339513469
812	3.337121978
813	3.336150695
814	3.3346394
815	3.331013527
816	3.328811206
817	3.328250453
818	3.326487446
819	3.325502302
820	3.323684355
821	3.321283239
822	3.319358641
823	3.319032907
824	3.318943961
825	3.316946824
826	3.315817176
827	3.313070252
828	3.311375806
829	3.308648897
830	3.30710553
831	3.305381358
832	3.303144988
833	3.301423847
834	3.299649936
835	3.296772952
836	3.294749473
837	3.293737998
838	3.293173046
839	3.290876356
840	3.288775552
841	3.286639558
842	3.286425012
843	3.283887359
844	3.282291836
845	3.280241452
846	3.278629797
847	3.276214892
848	3.275184279
849	3.274181306
850	3.271971796
851	3.270092418
852	3.268484948
853	3.267770297
854	3.266127593
855	3.265069711
856	3.262556062
857	3.261888163
858	3.259964774
859	3.257751936
860	3.256853955
861	3.253873301
862	3.250955286
863	3.248554565
864	3.247282742
865	3.24689586
866	3.245145228
867	3.243590495
868	3.242548175
869	3.239728458
870	3.238179529
871	3.237258099
872	3.236437034
873	3.234887357
874	3.232978047
875	3.231060988
876	3.229576557
877	3.228426585
878	3.227033495
879	3.225785146
880	3.22343724
881	3.223322806
882	3.221227532
883	3.219525416
884	3.219284495
885	3.217763029
886	3.217151417
887	3.21649813
888	3.213948741
889	3.211502826
890	3.20988092
891	3.208087674
892	3.206303809
893	3.204949953
894	3.202961447
895	3.201277866
896	3.199050578
897	3.198421241
898	3.197375387
899	3.19612764
900	3.195602378
901	3.195468904
902	3.193513263
903	3.193442742
904	3.192043333
905	3.190775476
906	3.187242662
907	3.185920889
908	3.183539882
909	3.182218643
910	3.182172103
911	3.180689787
912	3.177259178
913	3.174796604
914	3.17366052
915	3.171374476
916	3.170038508
917	3.168371198
918	3.165863502
919	3.164606943
920	3.163019485
921	3.161183887
922	3.16105931
923	3.160221371
924	3.158231981
925	3.156753357
926	3.155097675
927	3.154562849
928	3.151720955
929	3.150528522
930	3.147593978
931	3.147434666
932	3.144437989
933	3.143021794
934	3.142344102
935	3.142148754
936	3.141821966
937	3.139483428
938	3.136791007
939	3.134446937
940	3.133261097
941	3.131540973
942	3.129409687
943	3.127812662
944	3.126930356
945	3.12568271
946	3.123220487
947	3.122576343
948	3.120433127
949	3.116848604
950	3.11440158
951	3.111745653
952	3.110634719
953	3.108549853
954	3.105571114
955	3.103570047
956	3.100171006
957	3.099992826
958	3.099724395
959	3.098594708
960	3.098085587
961	3.097736192
962	3.09712334
963	3.096380188
964	3.095243357
965	3.09421809
966	3.092037194
967	3.089955674
968	3.089484855
969	3.086324869
970	3.085312218
971	3.08423566
972	3.083391331
973	3.081823199
974	3.081028373
975	3.080308639
976	3.079001002
977	3.077090473
978	3.076810381
979	3.075582138
980	3.073818175
981	3.073774143
982	3.070914134
983	3.070553216
984	3.069286163
985	3.067156454
986	3.066761475
987	3.065243383
988	3.063756286
989	3.063333193
990	3.062696562
991	3.06070167
992	3.060453322
993	3.060320737
994	3.059775707
995	3.059638797
996	3.059392789
997	3.058695796
998	3.057197165
999	3.054658377
