iter	Passed	Remaining
0	0	667
1	1	614
2	1	574
3	2	549
4	2	536
5	3	537
6	3	534
7	4	532
8	4	525
9	5	522
10	5	521
11	6	516
12	6	513
13	7	511
14	7	513
15	8	513
16	8	515
17	9	535
18	10	543
19	11	539
20	11	536
21	11	532
22	12	529
23	12	527
24	13	526
25	13	524
26	14	521
27	14	519
28	15	520
29	16	518
30	16	517
31	17	515
32	17	513
33	18	511
34	18	511
35	19	511
36	19	511
37	20	510
38	20	508
39	21	506
40	21	506
41	22	505
42	22	504
43	23	504
44	24	510
45	24	507
46	25	507
47	25	506
48	26	505
49	26	504
50	26	502
51	27	501
52	28	501
53	28	501
54	29	499
55	29	498
56	30	496
57	30	495
58	30	493
59	31	492
60	31	490
61	32	489
62	33	490
63	33	490
64	34	490
65	34	490
66	35	489
67	35	488
68	36	487
69	36	485
70	37	485
71	37	484
72	38	486
73	39	488
74	39	487
75	40	487
76	40	486
77	41	485
78	41	486
79	42	485
80	42	482
81	43	482
82	43	482
83	44	481
84	44	479
85	45	478
86	45	477
87	46	476
88	46	476
89	47	476
90	47	475
91	48	474
92	48	474
93	49	473
94	49	474
95	50	474
96	50	473
97	51	476
98	52	475
99	52	476
100	53	475
101	53	474
102	54	473
103	54	472
104	55	472
105	55	472
106	56	471
107	56	470
108	57	469
109	57	468
110	58	467
111	58	467
112	59	466
113	59	465
114	61	469
115	61	471
116	62	472
117	63	472
118	63	471
119	64	470
120	64	469
121	65	468
122	65	467
123	66	468
124	66	468
125	67	467
126	67	466
127	68	465
128	68	464
129	69	463
130	69	463
131	70	462
132	70	461
133	71	460
134	71	459
135	72	458
136	72	457
137	73	457
138	73	456
139	74	457
140	75	458
141	76	460
142	76	461
143	77	460
144	77	458
145	78	457
146	78	456
147	79	456
148	79	455
149	80	455
150	81	456
151	81	456
152	82	455
153	82	453
154	83	452
155	83	451
156	84	451
157	84	451
158	85	450
159	85	449
160	85	447
161	86	447
162	86	446
163	87	445
164	87	444
165	88	443
166	88	443
167	89	442
168	89	441
169	90	441
170	90	440
171	91	439
172	91	438
173	92	438
174	92	437
175	93	436
176	93	434
177	93	433
178	94	433
179	94	432
180	95	431
181	95	430
182	96	430
183	96	429
184	97	428
185	97	427
186	98	426
187	98	425
188	99	424
189	99	424
190	99	423
191	100	423
192	101	422
193	101	422
194	102	421
195	102	420
196	102	419
197	103	419
198	103	418
199	104	417
200	104	416
201	105	416
202	105	415
203	106	414
204	106	414
205	107	413
206	107	412
207	108	412
208	108	411
209	109	411
210	110	411
211	110	411
212	111	410
213	111	409
214	111	408
215	113	410
216	113	410
217	114	410
218	115	410
219	115	409
220	116	409
221	116	408
222	117	408
223	117	407
224	118	406
225	118	406
226	119	405
227	119	404
228	119	403
229	120	402
230	120	402
231	121	401
232	121	400
233	122	399
234	122	399
235	123	398
236	123	397
237	124	397
238	124	396
239	124	395
240	125	394
241	125	394
242	126	393
243	127	393
244	127	393
245	128	392
246	128	392
247	129	391
248	129	391
249	130	390
250	130	390
251	131	389
252	131	389
253	132	389
254	133	389
255	133	388
256	134	388
257	134	387
258	135	386
259	135	385
260	136	385
261	136	385
262	137	384
263	137	384
264	138	383
265	138	382
266	139	381
267	139	381
268	140	380
269	140	380
270	141	379
271	141	378
272	142	378
273	142	378
274	143	377
275	143	377
276	144	376
277	144	375
278	145	374
279	145	374
280	146	373
281	146	373
282	147	372
283	147	371
284	147	371
285	148	370
286	149	370
287	149	369
288	150	369
289	150	369
290	151	368
291	151	367
292	152	367
293	152	366
294	153	366
295	153	365
296	154	364
297	154	364
298	155	363
299	155	362
300	155	362
301	156	361
302	156	360
303	157	360
304	157	359
305	158	358
306	158	358
307	159	357
308	159	356
309	159	355
310	160	355
311	160	354
312	161	354
313	161	353
314	162	352
315	162	351
316	163	351
317	163	350
318	163	350
319	164	349
320	164	348
321	165	348
322	165	347
323	166	346
324	166	346
325	167	345
326	167	344
327	168	344
328	168	343
329	168	342
330	169	342
331	169	341
332	170	341
333	170	340
334	171	339
335	171	339
336	172	338
337	172	338
338	173	337
339	173	336
340	174	336
341	174	335
342	175	335
343	175	335
344	176	334
345	176	333
346	177	333
347	177	332
348	178	332
349	178	331
350	179	331
351	179	330
352	179	329
353	180	329
354	181	329
355	181	328
356	182	327
357	182	327
358	182	326
359	183	326
360	183	325
361	184	324
362	184	324
363	185	323
364	185	323
365	186	322
366	186	322
367	187	321
368	187	321
369	188	320
370	188	319
371	189	319
372	189	319
373	190	318
374	190	317
375	191	317
376	191	316
377	192	315
378	192	315
379	192	314
380	193	314
381	194	314
382	195	314
383	195	313
384	196	313
385	196	312
386	197	312
387	197	311
388	197	310
389	198	310
390	198	309
391	199	309
392	199	308
393	200	308
394	200	307
395	201	306
396	201	306
397	202	305
398	202	304
399	202	304
400	203	303
401	203	303
402	204	302
403	204	302
404	205	301
405	205	301
406	206	300
407	206	300
408	207	299
409	207	299
410	208	298
411	208	298
412	209	297
413	209	297
414	210	296
415	210	295
416	211	295
417	211	294
418	212	294
419	212	294
420	213	293
421	214	293
422	214	292
423	215	292
424	215	291
425	215	290
426	216	290
427	216	289
428	217	289
429	217	288
430	218	288
431	218	287
432	219	287
433	219	286
434	220	285
435	220	285
436	221	284
437	221	284
438	222	283
439	222	283
440	222	282
441	223	282
442	223	281
443	224	280
444	224	280
445	225	279
446	225	279
447	226	278
448	226	278
449	227	277
450	227	276
451	228	276
452	228	275
453	228	275
454	229	274
455	229	274
456	230	273
457	230	273
458	231	272
459	231	272
460	232	271
461	232	270
462	233	270
463	233	269
464	234	269
465	234	268
466	235	268
467	235	267
468	235	267
469	236	266
470	236	265
471	237	265
472	237	264
473	238	264
474	238	264
475	239	263
476	239	262
477	240	262
478	240	261
479	241	261
480	241	260
481	241	260
482	242	259
483	243	259
484	243	258
485	243	257
486	244	257
487	244	256
488	245	256
489	245	255
490	246	255
491	246	254
492	247	254
493	247	253
494	248	253
495	248	252
496	249	252
497	249	251
498	250	251
499	250	250
500	251	250
501	251	249
502	252	249
503	252	248
504	252	247
505	253	247
506	253	246
507	254	246
508	254	245
509	255	245
510	255	244
511	256	244
512	256	243
513	257	243
514	257	242
515	258	242
516	258	241
517	259	241
518	259	240
519	260	240
520	260	239
521	261	239
522	261	238
523	262	238
524	262	237
525	263	237
526	263	236
527	264	236
528	264	235
529	265	235
530	265	234
531	266	234
532	266	233
533	267	233
534	267	232
535	267	231
536	268	231
537	268	230
538	269	230
539	269	229
540	270	229
541	270	228
542	271	228
543	271	227
544	272	227
545	272	226
546	272	226
547	273	225
548	273	225
549	274	224
550	274	224
551	275	223
552	275	223
553	276	222
554	276	222
555	277	221
556	277	220
557	278	220
558	278	219
559	279	219
560	279	218
561	280	218
562	280	217
563	281	217
564	281	216
565	282	216
566	282	215
567	283	215
568	283	214
569	283	214
570	284	213
571	284	213
572	285	212
573	285	212
574	286	211
575	287	211
576	287	210
577	288	210
578	288	209
579	289	209
580	289	209
581	290	208
582	290	208
583	291	207
584	291	206
585	292	206
586	292	205
587	293	205
588	293	204
589	294	204
590	294	203
591	295	203
592	295	202
593	295	202
594	296	201
595	296	201
596	297	200
597	297	200
598	298	199
599	298	199
600	299	198
601	299	198
602	300	197
603	301	197
604	301	196
605	301	196
606	302	195
607	302	195
608	303	194
609	303	194
610	304	193
611	304	193
612	305	192
613	305	192
614	306	191
615	306	191
616	307	190
